id,year,Goverment,Revenue,Campus,Department,National,International,Matching_fund
28,2553,17097800.0,15159128.0,245410.0,5784939.0,135000265.0,17460200.0,8514665.0
29,2554,33474430.0,19289394.0,250000.0,4703329.0,269921510.98,1000000.0,19131187.74
30,2555,43882892.0,37126202.0,420000.0,16782176.0,35582143.98,2544080.0,20480000.0
31,2556,32792246.0,25841236.0,1345000.0,13452714.99,136916286.89,3208051.0,923334.0
32,2557,34591159.38,28528329.08,1005000.0,18765930.0,77457106.93,10736261.97,17958377.69
33,2558,83252068.75,19987652.07,1004200.0,23145543.97,221396642.81,57659457.97,15885700.0
34,2559,44841315.82,16997367.9,2642616.31,18677334.54,230212976.46,1505447.5,3499999.84
35,2560,147354832.86,20798150.14,809820.0,21243651.86,283638742.03,2940742.0,5493999.77
36,2561,181804813.0,16318650.16,1834400.0,14503040.5,165711510.95,1765880.0,2897499.84
37,2562,159040255.0,23219468.0,21499614.0,7619400.0,219811148.74,6307671.07,6000000.0
