categories,count
FOOD SCIENCE TECHNOLOGY,1021
PHARMACOLOGY PHARMACY,694
CRYSTALLOGRAPHY,477
POLYMER SCIENCE,476
PLANT SCIENCES,456
CHEMISTRY APPLIED,420
BIOTECHNOLOGY APPLIED MICROBIOLOGY,418
BIOCHEMISTRY MOLECULAR BIOLOGY,385
CHEMISTRY MEDICINAL,356
MATERIALS SCIENCE MULTIDISCIPLINARY,346
PUBLIC ENVIRONMENTAL OCCUPATIONAL HEALTH,339
ONCOLOGY,338
ENVIRONMENTAL SCIENCES,303
MULTIDISCIPLINARY SCIENCES,296
ENGINEERING CHEMICAL,264
CHEMISTRY MULTIDISCIPLINARY,264
INFECTIOUS DISEASES,263
MARINE FRESHWATER BIOLOGY,255
NUTRITION DIETETICS,252
MICROBIOLOGY,244
