camp_owner,faculty_owner,budget_year,budget
วิทยาเขตตรัง,คณะพาณิชยศาสตร์และการจัดการ,2553,
วิทยาเขตตรัง,คณะพาณิชยศาสตร์และการจัดการ,2554,20000.0
วิทยาเขตตรัง,คณะพาณิชยศาสตร์และการจัดการ,2555,1084400.0
วิทยาเขตตรัง,คณะพาณิชยศาสตร์และการจัดการ,2556,475100.0
วิทยาเขตตรัง,คณะพาณิชยศาสตร์และการจัดการ,2557,862731.99
วิทยาเขตตรัง,คณะพาณิชยศาสตร์และการจัดการ,2558,580429.0
วิทยาเขตตรัง,คณะพาณิชยศาสตร์และการจัดการ,2559,198680.0
วิทยาเขตตรัง,คณะพาณิชยศาสตร์และการจัดการ,2560,2394900.0
วิทยาเขตตรัง,คณะพาณิชยศาสตร์และการจัดการ,2561,2020400.0
วิทยาเขตตรัง,คณะพาณิชยศาสตร์และการจัดการ,2562,2922830.0
วิทยาเขตตรัง,คณะสถาปัตยกรรมศาสตร์,2559,834698.0
วิทยาเขตตรัง,คณะสถาปัตยกรรมศาสตร์,2560,1000000.0
วิทยาเขตตรัง,คณะสถาปัตยกรรมศาสตร์,2561,655100.0
วิทยาเขตตรัง,คณะสถาปัตยกรรมศาสตร์,2562,100000.0
วิทยาเขตตรัง,วิทยาเขตตรัง,2556,
วิทยาเขตตรัง,วิทยาเขตตรัง,2557,20000.0
วิทยาเขตตรัง,วิทยาเขตตรัง,2558,6231100.0
วิทยาเขตตรัง,วิทยาเขตตรัง,2559,32440.0
วิทยาเขตตรัง,วิทยาเขตตรัง,2560,1650000.0
วิทยาเขตตรัง,สำนักงานอธิการบดี วิทยาเขตตรัง,2560,14950.0
วิทยาเขตปัตตานี,คณะพยาบาลศาสตร์ วิทยาเขตปัตตานี,2555,300000.0
วิทยาเขตปัตตานี,คณะพยาบาลศาสตร์ วิทยาเขตปัตตานี,2556,290000.0
วิทยาเขตปัตตานี,คณะพยาบาลศาสตร์ วิทยาเขตปัตตานี,2557,85000.0
วิทยาเขตปัตตานี,คณะพยาบาลศาสตร์ วิทยาเขตปัตตานี,2559,320000.0
วิทยาเขตปัตตานี,คณะพยาบาลศาสตร์ วิทยาเขตปัตตานี,2560,1440000.0
วิทยาเขตปัตตานี,คณะพยาบาลศาสตร์ วิทยาเขตปัตตานี,2561,
วิทยาเขตปัตตานี,คณะพยาบาลศาสตร์ วิทยาเขตปัตตานี,2562,2062200.0
วิทยาเขตปัตตานี,คณะมนุษยศาสตร์และสังคมศาสตร์,2553,293324.0
วิทยาเขตปัตตานี,คณะมนุษยศาสตร์และสังคมศาสตร์,2554,1050000.0
วิทยาเขตปัตตานี,คณะมนุษยศาสตร์และสังคมศาสตร์,2555,363320.0
วิทยาเขตปัตตานี,คณะมนุษยศาสตร์และสังคมศาสตร์,2556,4451399.97
วิทยาเขตปัตตานี,คณะมนุษยศาสตร์และสังคมศาสตร์,2557,1104140.0
วิทยาเขตปัตตานี,คณะมนุษยศาสตร์และสังคมศาสตร์,2558,1379932.0
วิทยาเขตปัตตานี,คณะมนุษยศาสตร์และสังคมศาสตร์,2559,9064239.99
วิทยาเขตปัตตานี,คณะมนุษยศาสตร์และสังคมศาสตร์,2560,10366929.99
วิทยาเขตปัตตานี,คณะมนุษยศาสตร์และสังคมศาสตร์,2561,5364050.0
