categories,count
FOOD SCIENCE TECHNOLOGY,1025
PHARMACOLOGY PHARMACY,694
POLYMER SCIENCE,486
CRYSTALLOGRAPHY,476
PLANT SCIENCES,459
CHEMISTRY APPLIED,425
BIOTECHNOLOGY APPLIED MICROBIOLOGY,419
BIOCHEMISTRY MOLECULAR BIOLOGY,389
CHEMISTRY MEDICINAL,357
MATERIALS SCIENCE MULTIDISCIPLINARY,352
ONCOLOGY,344
PUBLIC ENVIRONMENTAL OCCUPATIONAL HEALTH,339
ENVIRONMENTAL SCIENCES,306
MULTIDISCIPLINARY SCIENCES,302
ENGINEERING CHEMICAL,266
CHEMISTRY MULTIDISCIPLINARY,265
INFECTIOUS DISEASES,263
MARINE FRESHWATER BIOLOGY,257
NUTRITION DIETETICS,252
MICROBIOLOGY,247
