year,PSU,CMU,KKU,MU,CU,KU
2544,129,132,96,434,304,76
2545,151,195,115,478,378,99
2546,153,226,136,648,513,119
2547,139,270,131,660,555,137
2548,211,345,184,781,659,202
2549,306,420,223,936,904,225
2550,321,501,298,1051,962,250
2551,414,545,388,1221,1204,320
2552,449,695,442,1517,1328,348
2553,464,653,428,1513,1310,426
2554,503,743,506,1517,1382,488
2555,520,808,695,1761,1513,478
2556,554,826,743,1701,1521,534
2557,576,859,767,1739,1567,575
2558,685,1008,822,2038,1798,676
2559,751,1174,919,2396,2097,709
2560,900,1283,995,2582,2157,770
2561,978,1464,1137,2609,2421,834
2562,1119,1557,1068,2863,2581,1010
2563,642,922,633,1428,1377,515
