categories,count
CHEMISTRY,1164
FOOD SCIENCE TECHNOLOGY,1021
PHARMACOLOGY PHARMACY,801
ENGINEERING,730
MATERIALS SCIENCE,596
CRYSTALLOGRAPHY,477
POLYMER SCIENCE,476
SCIENCE TECHNOLOGY OTHER TOPICS,465
PLANT SCIENCES,456
BIOCHEMISTRY MOLECULAR BIOLOGY,439
BIOTECHNOLOGY APPLIED MICROBIOLOGY,418
ENVIRONMENTAL SCIENCES ECOLOGY,362
PUBLIC ENVIRONMENTAL OCCUPATIONAL HEALTH,339
ONCOLOGY,338
AGRICULTURE,273
MARINE FRESHWATER BIOLOGY,266
INFECTIOUS DISEASES,263
NUTRITION DIETETICS,252
MICROBIOLOGY,244
PHYSICS,230
